drug_name,uses,side_effects,warnings
Pantcaine,"Arthritis inflammation, Asthma","Photosensitivity, Abdominal pain",Avoid in pregnancy unless prescribed
Pantcillin,Chronic kidney disease,"Muscle pain, Dizziness","May interact with alcohol, Risk of bleeding with anticoagulants"
Pantfen,Viral infections,"Rash, Palpitations, Dry mouth","Avoid overdose, Hypersensitivity reactions possible"
Pantformin,"Acne, Fever reduction","Vomiting, Muscle pain","Not for pediatric use without advice, Risk of bleeding with anticoagulants"
Pantgliflozin,"Stroke prevention, COPD","Vomiting, Constipation, Dry mouth, Rash","May interact with alcohol, Caution in liver impairment"
Pantpine,High cholesterol,"Drowsiness, Photosensitivity, Blurred vision, Rash","Monitor blood glucose levels, Hypersensitivity reactions possible"
Pantsartan,Hypertension,"Dizziness, Rash, Drowsiness, Tremor","Avoid overdose, Use lowest effective dose"
Pantstatin,Anticoagulation,"Headache, Tremor, Palpitations","Use lowest effective dose, Caution in renal impairment"
Pantvir,"GERD, COPD","Drowsiness, Fatigue, Weight gain, Rash","May cause drowsiness; avoid driving, Avoid in pregnancy unless prescribed"
Pantxetine,"Asthma, Viral infections","Insomnia, Weight gain, Blurred vision, Photosensitivity","Avoid overdose, Hypersensitivity reactions possible"
Paraazole,Migraine,"Fatigue, Muscle pain, Rash",May cause drowsiness; avoid driving
Paracaine,Migraine,"Diarrhea, Constipation, Fatigue, Weight gain",Caution in liver impairment
Paranib,Hypertension,"Fatigue, Abdominal pain, Constipation, Blurred vision",Monitor blood pressure
Paraolol,Thyroid disorders,"Dizziness, Rash, Palpitations, Abdominal pain",Use lowest effective dose
Parapril,"Immunosuppression, Depression","Tremor, Rash","Risk of bleeding with anticoagulants, Monitor blood glucose levels"
Paravir,"Migraine, Bacterial infections","Muscle pain, Constipation, Palpitations","Monitor blood glucose levels, Caution in liver impairment"
Raniazole,"Bacterial infections, Thyroid disorders","Blurred vision, Abdominal pain, Vomiting, Tremor","Caution in liver impairment, Monitor blood glucose levels"
Ranibarbital,Dermatitis,"Muscle pain, Insomnia",Risk of bleeding with anticoagulants
Ranicillin,Type 2 diabetes,"Muscle pain, Abdominal pain",Avoid overdose
Ranifen,"Chemotherapy support, GERD","Muscle pain, Photosensitivity","Risk of bleeding with anticoagulants, Check for drug–drug interactions"
Raniformin,COPD,"Nausea, Muscle pain",Not for pediatric use without advice
Ranigliflozin,Arthritis inflammation,"Weight gain, Photosensitivity, Constipation",May interact with alcohol
Ranimab,Hypertension,"Insomnia, Headache, Diarrhea","May cause drowsiness; avoid driving, May interact with alcohol"
Raniolol,"Allergic rhinitis, Chronic kidney disease","Photosensitivity, Headache, Blurred vision, Insomnia","Avoid overdose, Use lowest effective dose"
Ranipril,Anxiety disorders,"Blurred vision, Dizziness","Caution in renal impairment, May interact with alcohol"
Ranivir,"Allergic rhinitis, COPD","Tremor, Rash",Use lowest effective dose
Ranizepam,Chronic kidney disease,"Muscle pain, Fatigue",Avoid in pregnancy unless prescribed
Rosubarbital,COPD,"Drowsiness, Headache, Insomnia, Dry mouth",Not for pediatric use without advice
Rosugliflozin,Anticoagulation,"Photosensitivity, Drowsiness, Diarrhea, Headache","Check for drug–drug interactions, Avoid in pregnancy unless prescribed"
Rosumab,"Dermatitis, Asthma","Photosensitivity, Dizziness, Palpitations, Dry mouth","Monitor blood pressure, Risk of bleeding with anticoagulants"
Rosunib,"Heart failure, Asthma","Photosensitivity, Tremor, Dizziness","Hypersensitivity reactions possible, Avoid in pregnancy unless prescribed"
Rosuolol,"Acne, Pain relief","Tremor, Insomnia, Blurred vision","Monitor blood pressure, May cause drowsiness; avoid driving"
Rosupine,Acne,"Weight gain, Vomiting","Monitor blood glucose levels, Monitor blood pressure"
Rosusartan,Immunosuppression,"Palpitations, Blurred vision, Headache",Use lowest effective dose
Rosustatin,COPD,"Rash, Constipation, Blurred vision, Dry mouth","Caution in liver impairment, Risk of bleeding with anticoagulants"
Rosuzepam,"Chronic kidney disease, Migraine","Tremor, Drowsiness, Headache",May cause drowsiness; avoid driving
Sertrafen,"Fungal infections, Chronic kidney disease","Abdominal pain, Nausea, Diarrhea","May cause drowsiness; avoid driving, Caution in renal impairment"
Sertramab,"Fungal infections, Gastric ulcer","Weight gain, Insomnia","Use lowest effective dose, Not for pediatric use without advice"
Sertraolol,Viral infections,"Drowsiness, Palpitations, Photosensitivity","Check for drug–drug interactions, Caution in renal impairment"
Sertrapine,Pain relief,"Nausea, Weight gain, Diarrhea","Avoid overdose, Monitor blood glucose levels"
Sertrapril,"High cholesterol, Chronic kidney disease","Dizziness, Photosensitivity, Rash","Caution in renal impairment, May cause drowsiness; avoid driving"
Sertrastatin,Chronic kidney disease,"Dry mouth, Photosensitivity, Muscle pain",Avoid overdose
Sertrazepam,Allergic rhinitis,"Rash, Fatigue, Dizziness, Insomnia",Hypersensitivity reactions possible
Telmicillin,Chemotherapy support,"Diarrhea, Headache","Monitor blood glucose levels, Hypersensitivity reactions possible"
Telmifen,"Viral infections, Anxiety disorders","Abdominal pain, Insomnia, Diarrhea, Palpitations","Check for drug–drug interactions, May interact with alcohol"
Telminib,"Anticoagulation, COPD","Vomiting, Photosensitivity",Caution in renal impairment
Telmiolol,"Viral infections, Arthritis inflammation","Palpitations, Muscle pain, Dry mouth, Headache",Check for drug–drug interactions
Telmistatin,Acne,"Headache, Palpitations, Rash",Caution in liver impairment
Telmivir,"Gastric ulcer, Bacterial infections","Insomnia, Headache",Caution in liver impairment
Telmixetine,"High cholesterol, Type 2 diabetes","Photosensitivity, Blurred vision, Nausea, Rash",Avoid in pregnancy unless prescribed
Telmizepam,"Gastric ulcer, Chronic kidney disease","Nausea, Dry mouth, Abdominal pain","May cause drowsiness; avoid driving, May interact with alcohol"
